date,close,open,high,low,volume,NASDAQ,NYSE,SP500,FTSE100,NIKKEI225,BSE,RUSSELL2000,HENG SENG,SSE,Oil,gold,VIX,Dollar,AMAZON,Google,microsoft,Sentiment
2012-08-23,19.44,19.5,19.73,19.36,32810000.000000004,3053.4,8011.4,1402.08,5776.6,9178.12,17850.22,806.0,20132.24,2113.07,96.27,168.41,15.96,81.36,241.2,338.73,30.25,0.16117947548627853
2012-08-24,19.41,19.52,19.68,19.25,29620000.0,3069.8,8047.9,1411.13,5776.6,9070.76,17783.21,809.19,19880.03,2092.1,96.15,168.5,15.18,81.59,245.74,339.64,30.56,-0.3167448043823242
2012-08-27,19.15,19.49,19.53,19.1,20700000.0,3073.2,8036.3,1410.44,,9085.39,17678.81,810.4,19798.67,2055.71,95.47,166.37,16.35,81.66,243.92,334.93,30.69,0.29761310666799545
2012-08-28,19.34,19.1,19.38,18.95,25430000.0,3077.1,8033.9,1409.3,5775.71,9033.29,17631.71,814.28,19811.8,2073.15,96.33,166.2,16.49,81.37,246.11,338.95,30.63,0.08875246345996858
2012-08-29,19.1,19.32,19.38,19.07,16120000.000000002,3081.2,8031.6,1410.49,5743.53,9069.81,17490.81,817.84,19788.51,2053.23,95.49,164.49,17.06,81.55,247.12,344.34,30.65,0.567155122756958
2012-08-30,19.09,19.27,19.45,19.06,30650000.0,3048.7,7966.2,1399.48,5719.45,8983.78,17541.64,808.64,19552.91,2052.58,94.62,162.88,17.83,81.69,246.22,341.17,30.32,0.8949281573295593
2012-08-31,18.06,18.68,18.7,18.03,58760000.0,3067.0,8014.9,1406.58,5711.48,8839.91,17429.56,812.09,19482.57,2047.52,96.47,169.88,17.47,81.21,248.27,342.88,30.82,0.004363268613815308
2012-09-04,17.73,18.08,18.27,17.55,46620000.0,3075.1,8002.3,1404.94,5672.01,8775.51,17440.87,822.14,19429.91,2043.65,95.3,169.83,17.98,81.31,247.88,340.85,30.39,-0.005115905404090881
2012-09-05,18.58,18.27,18.75,18.18,60780000.0,3069.3,7992.0,1403.44,5657.86,8679.82,17313.34,821.23,19145.07,2037.68,95.36,169.6,17.74,81.23,246.22,340.69,30.39,-0.7932965755462646
2012-09-06,18.96,18.74,19.26,18.72,46070000.0,3135.8,8160.6,1432.12,5777.34,8680.57,17346.27,837.95,19209.3,2051.92,95.53,173.77,15.6,81.04,251.38,350.04,31.34,-0.029607515782117844
2012-09-07,18.98,19.1,19.42,18.78,36370000.0,3136.4,8234.5,1437.92,5794.8,8871.65,17683.73,842.27,19802.16,2127.76,96.42,179.28,14.38,80.25,259.14,353.42,30.95,-0.09906522929668428
2012-09-10,18.81,19.06,19.2,18.55,24800000.0,3104.0,8192.4,1429.08,5793.2,8869.37,17766.78,839.37,19827.17,2134.89,96.54,176.47,16.28,80.25,257.09,350.72,30.72,
2012-09-11,19.43,18.92,19.58,18.85,50510000.0,3104.5,8246.2,1433.56,5792.19,8807.38,17852.95,841.92,19857.88,2120.55,97.17,177.14,16.41,79.86,255.67,346.43,30.79,-0.3194401543587446
2012-09-12,20.93,20.76,21.16,20.28,121580000.0,3114.3,8267.3,1436.56,5782.08,8959.96,18000.03,845.12,20075.39,2126.55,97.01,177.78,15.8,79.74,255.63,345.78,30.78,0.4034585356712341
2012-09-13,20.71,20.95,21.48,20.61,65040000.00000001,3155.8,8407.0,1459.99,5819.92,8995.15,18021.16,856.12,20047.63,2110.38,98.31,186.63,14.05,79.26,260.24,353.36,30.93,-0.5981483459472656
